,violation_code,violation_description,sum(total_payments)
56,0976050C,RED REAR LAMP REQUIRED VISIBLE 500',27480
57,0940170,UNSAFE CONDITION,28508
58,0980080C,PARK VEHICLE TO SELL MERCHANDISE,31248
59,0964060B,3-7 AM SNOW ROUTE,35256
60,0964170C,VEH 6' OR HIGHER WITHIN 20' OF CROSSWALK,39220
61,0964110B,PARK OR STAND WITHIN INTERSECTION,42553
62,0976210A,LAMPS BROKEN OR INOPERABLE,42953
63,0976160C,FRONT PLATE REQUIRED FOR TRUCK TRACTORS,46300
64,0980080B,PARK VEHICLE TO GREASE OR REPAIR,56754
65,0976180B,SAFETY BELTS REQUIRED ON SCHOOL BUS,57312
66,0964120B,PARK OR STAND ON CHA PROPERTY,61770
67,0964050I,DISABLED PARKING,62169
68,0976050B,TWO HEAD LAMPS REQUIRED VISIBLE 1000',63747
69,0964110F,PARK OR STAND ON BRIDGE,70466
70,0964100E,UNDER FIRE ESCAPE,82269
71,0980120A,NO PARK IN PUBLIC LOT,86607
72,0964041B,Special Events,92569
73,0976150B,BURGLAR ALARM SOUNDING OVER 4 MINUTES,92932
74,0964120A,PARK OR STAND ON CITY PROPERTY,101791
75,0964180A,NO PARKING IN LOOP,103829
76,0964070,SNOW ROUTE: 2' OF SNOW OR MORE,104194
77,0976170,NO CITY STICKER OR IMPROPER DISPLAY,110702
78,0940080,PARKED/STANDING UNATTENDED W/MOTOR RUNNI,115990
79,0964200B,OUTSIDE METERED SPACE,126585
80,0964091,INDUSTRIAL PERMIT PARKING,165721
81,0964070,SNOW ROUTE: 2'' OF SNOW OR MORE,171279
82,0964041B,SPECIAL EVENTS RESTRICTION,201544
83,0980120B,NO PARK IN PRIVATE LOT,213253
84,0964030B,OUTSIDE DIAGONAL MARKINGS,223044
85,0980130A,FAIL TO PAY OR OUTSIDE SPACE IN CITY LOT,235219
86,0980130B,PARK IN CITY LOT WHEN CLOSED,249354
87,0940060,PARK/STAND ON BICYCLE PATH,278872
88,0964170B,"TRUCK,MOTOR HOME, BUS BUSINESS STREET",296420
89,0964100B,PARK IN FIRE LANE,341942
90,0976210B,WINDOWS MISSING OR CRACKED BEYOND 6,350292
91,0964100F,20'OF CROSSWALK,411202
92,0964200B,PARK OUTSIDE METERED SPACE,415420
93,0964170D,TRUCK TRAILOR/SEMI/TRAILER PROHIBITED,418054
94,0980110B,HAZARDOUS DILAPITATED VEHICLE,420039
95,0964020A,WRONG DIRECTION OR 12'' FROM CURB,541824
96,0976220A,OBSTRUCTED OR IMPROPERLY TINTED WINDOWS,621490
97,0964110G,PARK OR STAND IN VIADUCT/UNDERPASS,631319
98,0964110E,PARK OR STAND ON PARKWAY,643288
99,0980080A,PARK VEHICLE SOLE PURPOSE OF DISPLAYING FOR SALE,663927
100,0976180A,SAFETY BELTS REQUIRED,842567
101,0980110A,ABANDONED VEH. FOR 7 DAYS OR INOPERABLE,1186807
102,0964100D,DISABLED CURB CUT,1353970
103,0964060,3-7 AM SNOW ROUTE,1480124
104,0912060,"STAND, PARK, OR OTHER USE OF BUS LANE",1510063
105,0964110D,PARK OR STAND ON SIDEWALK,1971883
106,0964100G,STOP SIGN OR TRAFFIC SIGNAL,2037271
107,0964160B,CURB LOADING ZONE,2528217
108,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",2552100
109,0964020B,OBSTRUCT ROADWAY,2987018
110,0976160D,NONCOMPLIANT PLATE(S),3142253
111,0964110C,PARK OR STAND ON CROSSWALK,3420407
112,0964100C,BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE,3464847
113,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,5739885
114,0976220B,SMOKED/TINTED WINDOWS PARKED/STANDING,5823983
115,0964050J,DISABLED PARKING ZONE,6841608
116,0964110A,DOUBLE PARKING OR STANDING,7520906
117,0964130,PARK OR BLOCK ALLEY,9011214
118,0964080B,NO STANDING/PARKING TIME RESTRICTED,10751386
119,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,11220066
120,0964100A,WITHIN 15' OF FIRE HYDRANT,16563961
121,0964040B,STREET CLEANING OR SPECIAL EVENT,17875563
122,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,18772881
123,0976160A,REAR AND FRONT PLATE REQUIRED,24163971
124,0964080A,RUSH HOUR PARKING,27684555
125,0964150B,PARKING/STANDING PROHIBITED ANYTIME,31845304
126,0964040B,STREET CLEANING,33247423
127,0964190,EXPIRED METER OR OVERSTAY,42273620
128,0964090E,RESIDENTIAL PERMIT PARKING,44174197
129,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,56868571
130,0964125,NO CITY STICKER OR IMPROPER DISPLAY,70147517
