,violation_code,violation_description,avg(total_payments)
79,0976220A,OBSTRUCTED OR IMPROPERLY TINTED WINDOWS,49.37946925154934
80,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,49.69511350452806
81,0964100F,20'OF CROSSWALK,49.975935828877006
82,0964160A,CURB LOADING ZONE,50.0
83,0964040,STREET CLEANING,50.0
84,0964040A,STREET CLEANING,50.0
85,0964100G,STOP SIGN OR TRAFFIC SIGNAL,50.43873635215766
86,0964190,EXPIRED METER OR OVERSTAY,51.25274155044756
87,0964070,SNOW ROUTE: 2'' OF SNOW OR MORE,51.296495956873315
88,0964040B,STREET CLEANING OR SPECIAL EVENT,51.40644465533604
89,0964091,INDUSTRIAL PERMIT PARKING,51.86885758998435
90,0964091B,INDUSTRIAL PERMIT PARKING,51.973365617433416
91,0964040B,STREET CLEANING,52.16313028143602
92,0964110D,PARK OR STAND ON SIDEWALK,52.91372833145495
93,0964160B,CURB LOADING ZONE,53.12161452314416
94,0964150B,PARKING/STANDING PROHIBITED ANYTIME,53.83102510400133
95,0964110C,PARK OR STAND ON CROSSWALK,54.9586573687255
96,0964110E,PARK OR STAND ON PARKWAY,55.05717220130092
97,0940080,PARKED/STANDING UNATTENDED W/MOTOR RUNNI,55.18078020932445
98,0964080B,NO STANDING/PARKING TIME RESTRICTED,56.09409027114735
99,0964090E,RESIDENTIAL PERMIT PARKING,56.22315685241328
100,0964080A,RUSH HOUR PARKING,56.79477237618705
101,0964041B,SPECIAL EVENTS RESTRICTION,57.0461364279649
102,0976220B,SMOKED/TINTED WINDOWS PARKED/STANDING,58.88699810922033
103,0964020B,OBSTRUCT ROADWAY,59.50709219858156
104,0964090,RESIDENTIAL PARKING PERMIT,60.0
105,0964180,NO PARKING IN LOOP,60.0
106,0976180,SAFETY BELTS REQUIRED ON SCHOOL BUS,61.0
107,0964041,SPECIAL EVENTS RESTRICTION,65.13513513513513
108,0964110H,PARK OR STAND ON OR WITHIN 10' RR TRACKS,67.57741935483871
109,0964110B,PARK OR STAND WITHIN INTERSECTION,68.41318327974277
110,0964170D,TRUCK TRAILOR/SEMI/TRAILER PROHIBITED,69.21423841059602
111,0964110F,PARK OR STAND ON BRIDGE,73.09751037344398
112,0964050J*,INVALID PLACARD,75.0
113,0964100D,DISABLED CURB CUT,75.39228242107022
114,0964110G,PARK OR STAND IN VIADUCT/UNDERPASS,75.6161216912205
115,0964100E,UNDER FIRE ESCAPE,78.80172413793103
116,0976140A,NO OR IMPROPER MUFFLER,79.04335260115607
117,0964150A,PARK OR STAND NEAR FIRE STATION OR RR XX,82.44886363636364
118,0912060,"STAND, PARK, OR OTHER USE OF BUS LANE",82.58479628110473
119,0968040I,PARK/STAND IN WRIGLEY BUS PERMIT ZONE,89.6875
120,0964100B,PARK IN FIRE LANE,89.84287966368892
121,0964110A,DOUBLE PARKING OR STANDING,92.06416784997307
122,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,93.88834652836474
123,0964100A,WITHIN 15' OF FIRE HYDRANT,97.33601100057001
124,0964125,NO CITY STICKER OR IMPROPER DISPLAY,103.68599694326113
125,0976170,NO CITY STICKER OR IMPROPER DISPLAY,103.94553990610329
126,0940060,PARK/STAND ON BICYCLE PATH,103.97912005965698
127,0964100C,BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE,105.93918547055586
128,0964130,PARK OR BLOCK ALLEY,107.3594328945017
129,0964050J,DISABLED PARKING ZONE,128.59440257128358
130,0964050I,DISABLED PARKING,130.33333333333334
