,violation_code,violation_description,count
87,0964170D,TRUCK TRAILOR/SEMI/TRAILER PROHIBITED,6040
88,0980130A,FAIL TO PAY OR OUTSIDE SPACE IN CITY LOT,6507
89,0964100F,20'OF CROSSWALK,8228
90,0964110G,PARK OR STAND IN VIADUCT/UNDERPASS,8349
91,0980120B,NO PARK IN PRIVATE LOT,8852
92,0964200B,PARK OUTSIDE METERED SPACE,11400
93,0964110E,PARK OR STAND ON PARKWAY,11684
94,0976220A,OBSTRUCTED OR IMPROPERLY TINTED WINDOWS,12586
95,0964170B,"TRUCK,MOTOR HOME, BUS BUSINESS STREET",13175
96,0980110B,HAZARDOUS DILAPITATED VEHICLE,16357
97,0976210B,WINDOWS MISSING OR CRACKED BEYOND 6,17344
98,0964100D,DISABLED CURB CUT,17959
99,0912060,"STAND, PARK, OR OTHER USE OF BUS LANE",18285
100,0980080A,PARK VEHICLE SOLE PURPOSE OF DISPLAYING FOR SALE,20870
101,0964020A,WRONG DIRECTION OR 12'' FROM CURB,21480
102,0964060,3-7 AM SNOW ROUTE,30598
103,0964100C,BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE,32706
104,0976180A,SAFETY BELTS REQUIRED,33463
105,0980110A,ABANDONED VEH. FOR 7 DAYS OR INOPERABLE,36975
106,0964110D,PARK OR STAND ON SIDEWALK,37266
107,0964100G,STOP SIGN OR TRAFFIC SIGNAL,40391
108,0964160B,CURB LOADING ZONE,47593
109,0964020B,OBSTRUCT ROADWAY,50196
110,0964050J,DISABLED PARKING ZONE,53203
111,0964110C,PARK OR STAND ON CROSSWALK,62236
112,0976160D,NONCOMPLIANT PLATE(S),67218
113,0964110A,DOUBLE PARKING OR STANDING,81692
114,0964130,PARK OR BLOCK ALLEY,83935
115,0976220B,SMOKED/TINTED WINDOWS PARKED/STANDING,98901
116,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,115502
117,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",117977
118,0964100A,WITHIN 15' OF FIRE HYDRANT,170173
119,0964080B,NO STANDING/PARKING TIME RESTRICTED,191667
120,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,199949
121,0964040B,STREET CLEANING OR SPECIAL EVENT,347730
122,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,357458
123,0964080A,RUSH HOUR PARKING,487449
124,0976160A,REAR AND FRONT PLATE REQUIRED,544987
125,0964150B,PARKING/STANDING PROHIBITED ANYTIME,591579
126,0964040B,STREET CLEANING,637374
127,0964125,NO CITY STICKER OR IMPROPER DISPLAY,676538
128,0964090E,RESIDENTIAL PERMIT PARKING,785694
129,0964190,EXPIRED METER OR OVERSTAY,824807
130,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,1249732
